scenario,line,max_utilisation_pct,mean_utilisation_pct,hours_above_threshold,congestion_severity_pct_hours,peak_abs_flow_mw,flow_mwh_during_congested_hours,bottleneck_rank_score
base_2026_constrained_grid,Flevoland__Overijssel,100.0,74.56524093104989,94,875.4456747846091,420.0,39208.871834095364,919.3545466187045
base_2026_constrained_grid,Noord-Brabant__Zeeland,100.0,71.6443793775635,80,775.7633435327502,520.0,41473.9693863703,821.2373129191205
base_2026_constrained_grid,Noord-Brabant__Limburg,100.0,71.55192486736009,77,730.086238664481,620.0,47492.534679719785,781.4287733442009
base_2026_constrained_grid,Gelderland__Overijssel,100.0,66.61356639514015,75,718.9461343071837,600.0,44813.676805843104,767.5098111130268
base_2026_constrained_grid,Gelderland__Limburg,100.0,70.62363851434789,77,720.7403437414964,500.0,38253.70171870748,762.8440454602039
base_2026_constrained_grid,Overijssel__Drenthe,100.0,63.96041716606506,64,632.2873255611712,450.0,28765.29296502527,664.2526185261966
base_2026_constrained_grid,Utrecht__Gelderland,100.0,57.18702321529132,51,471.4812928843504,650.0,32899.62840374828,506.9309212880987
base_2026_constrained_grid,Drenthe__Groningen,100.0,54.289074788410645,45,437.36038169565876,420.0,18846.913603121768,458.45729529878054
base_2026_constrained_grid,Friesland__Groningen,100.0,56.114976907069114,39,308.3979116269013,500.0,19091.989558134504,329.4399011850358
base_2026_constrained_grid,Utrecht__Noord-Brabant,100.0,55.20659002770044,33,300.9454009636098,750.0,24532.090507227073,327.12749147083684
base_2026_constrained_grid,Friesland__Flevoland,100.0,52.53268520373312,29,273.84924264256694,450.0,12977.321591891552,288.2765642344585
base_2026_constrained_grid,Zuid-Holland__Zeeland,100.0,47.52589127897571,27,250.0002388723179,700.0,18760.001672106224,270.11024054442413
base_2026_constrained_grid,Noord-Holland__Utrecht,100.0,50.72167765655071,23,211.05823166504874,900.0,20529.524084985438,232.73775575003418
base_2026_constrained_grid,Noord-Holland__Zuid-Holland,100.0,41.58944413774101,17,131.87261533320705,1200.0,19942.471383998483,152.66508671720553
base_2026_constrained_grid,Noord-Holland__Flevoland,100.0,44.54942441050751,17,139.2548193377277,650.0,10850.15632569523,150.9549756634229
base_2026_constrained_grid,Zuid-Holland__Utrecht,100.0,41.32527303858083,15,129.7181982940964,850.0,12577.604685499819,143.0458029795962
base_2026_constrained_grid,Noord-Holland__Friesland,100.0,36.78758950190449,12,91.02753749419077,850.0,9953.734068700622,101.58127156289139
bess_flevoland,Flevoland__Overijssel,100.0,85.69122087331765,122,1176.567895431816,420.0,51057.58516081363,1233.7254805926295
bess_flevoland,Noord-Brabant__Zeeland,100.0,75.53401863430328,97,921.4395671740543,520.0,50187.48574930508,976.4770529233595
bess_flevoland,Gelderland__Limburg,100.0,74.30083105058887,93,897.4210477570184,500.0,46337.105238785094,948.4081529958034
bess_flevoland,Gelderland__Overijssel,100.0,72.53622826670201,87,769.6653369432579,600.0,51597.99202165955,825.6133289649175
bess_flevoland,Noord-Brabant__Limburg,100.0,69.13953594537998,72,666.5392686539478,620.0,44308.54346565448,714.4478121196023
bess_flevoland,Overijssel__Drenthe,100.0,61.06764941617217,61,580.8288922839633,450.0,27318.730015277833,611.1976222992412
bess_flevoland,Drenthe__Groningen,100.0,56.3946796958503,49,465.95279979513134,420.0,20479.00175913955,488.8818015542709
bess_flevoland,Utrecht__Gelderland,100.0,55.568208457154554,42,369.5297054333779,650.0,26971.943085316954,398.6016485186949
bess_flevoland,Friesland__Flevoland,100.0,55.71942030570699,40,348.202546416652,450.0,17766.911458874936,367.9694578755269
bess_flevoland,Zuid-Holland__Zeeland,100.0,50.39850879707873,33,308.8530724564244,700.0,22951.97150719497,333.45504396361935
bess_flevoland,Utrecht__Noord-Brabant,100.0,53.34296465002299,37,289.7865095485685,750.0,27148.398821614264,318.7849083701828
bess_flevoland,Friesland__Groningen,100.0,51.725646341224305,34,299.83569536462136,500.0,16799.17847682311,318.33487384144445
bess_flevoland,Noord-Holland__Flevoland,100.0,48.52249587361628,31,287.0438729221336,650.0,20000.78517399387,308.59465809612743
bess_flevoland,Noord-Holland__Utrecht,100.0,47.07989601559023,22,177.1735008645539,900.0,19414.561507780985,197.68806237233485
bess_flevoland,Zuid-Holland__Utrecht,100.0,46.15364539019369,15,112.58360501034977,850.0,12431.960642587972,125.76556565293774
bess_flevoland,Noord-Holland__Zuid-Holland,100.0,36.57681188444843,14,94.59373400951765,1200.0,16255.124808114211,111.54885881763187
bess_flevoland,Noord-Holland__Friesland,100.0,32.29099717591151,6,33.913868311523274,850.0,4878.267880647948,39.09213619217122
bess_noord_brabant,Flevoland__Overijssel,100.0,78.6185504181208,104,988.7463580832975,420.0,43464.73470394985,1037.4110927872475
bess_noord_brabant,Noord-Brabant__Zeeland,100.0,78.0231685890628,98,908.5575658948928,520.0,50588.49934265345,964.0460652375463
bess_noord_brabant,Gelderland__Overijssel,100.0,70.41687994269348,86,837.5258307062111,600.0,51465.15498423727,893.2909856904483
bess_noord_brabant,Noord-Brabant__Limburg,100.0,72.80225138266152,81,759.0290176517881,620.0,49903.979909441085,812.9829975612291
bess_noord_brabant,Overijssel__Drenthe,100.0,66.05507519948135,72,687.3177932208591,450.0,32252.930069493865,723.1707232903531
bess_noord_brabant,Gelderland__Limburg,100.0,70.52274548668625,73,671.4319712228497,500.0,36207.159856114245,711.2891310789639
bess_noord_brabant,Drenthe__Groningen,100.0,58.86098224294167,57,557.540061948527,420.0,23887.66826018381,584.2777302087108
bess_noord_brabant,Utrecht__Noord-Brabant,100.0,60.46690736477855,53,467.961989486944,750.0,39284.71492115208,509.89670440809607
bess_noord_brabant,Friesland__Groningen,100.0,56.6878431310607,49,449.72157903868674,500.0,24298.607895193432,476.47018693388014
bess_noord_brabant,Utrecht__Gelderland,100.0,52.41957576988672,34,324.3393760785871,650.0,21998.205944510817,348.0375820230979
bess_noord_brabant,Zuid-Holland__Zeeland,100.0,51.20564408630521,33,308.1578935518694,700.0,22947.105254863087,332.75499880673243
bess_noord_brabant,Friesland__Flevoland,100.0,49.63726582319735,26,229.98793887852878,450.0,11564.94572495338,242.85288460348218
bess_noord_brabant,Noord-Holland__Flevoland,100.0,41.99508637435582,16,147.0368682824311,650.0,10315.739643835803,158.1526079262669
bess_noord_brabant,Noord-Holland__Zuid-Holland,100.0,35.4529226784589,16,117.13255508410015,1200.0,18685.590661009202,136.61814574510936
bess_noord_brabant,Noord-Holland__Utrecht,100.0,46.24609512560638,13,91.62213405585089,900.0,11354.599206502658,103.62673326235355
bess_noord_brabant,Zuid-Holland__Utrecht,100.0,45.508327226209026,10,73.38587818065835,850.0,8273.779964535595,82.15965814519394
bess_noord_brabant,Noord-Holland__Friesland,100.0,33.41029066102174,6,26.82759178613314,850.0,4818.034530182131,31.945626316315273
bess_noord_holland,Flevoland__Overijssel,100.0,78.8745611285031,102,970.1266369501511,420.0,42630.53187519064,1017.8571688253418
bess_noord_holland,Gelderland__Limburg,100.0,71.45902821729234,87,838.0352002629161,500.0,43340.17600131458,885.7253762642307
bess_noord_holland,Noord-Brabant__Zeeland,100.0,72.46575034783686,85,819.9662173564243,520.0,44043.82433025341,868.2600416866777
bess_noord_holland,Gelderland__Overijssel,100.0,72.6549656640081,83,794.640454135237,600.0,49587.84272481142,848.3782968600483
bess_noord_holland,Noord-Brabant__Limburg,100.0,72.32394390670312,86,790.1923660447053,620.0,52887.19266947717,847.3795587141824
bess_noord_holland,Overijssel__Drenthe,100.0,62.196762174632056,60,560.0281527815157,450.0,26820.126687516822,589.8482794690325
bess_noord_holland,Drenthe__Groningen,100.0,57.98389688214961,45,427.0593320194846,420.0,18803.649194481837,448.11298121396646
bess_noord_holland,Friesland__Groningen,100.0,51.34416787151514,40,358.6971274875755,500.0,19793.485637437876,380.49061312501334
bess_noord_holland,Noord-Holland__Utrecht,100.0,57.146876050564344,39,310.05337915897144,900.0,34380.48041243074,346.3838595714022
bess_noord_holland,Zuid-Holland__Zeeland,100.0,49.920336490646754,35,305.8728689030465,700.0,24191.110082321327,331.8139789853678
bess_noord_holland,Utrecht__Noord-Brabant,100.0,52.43075515806309,35,277.3335426858611,750.0,25705.00157014396,304.7885442560051
