scenario,solve_status,termination_condition,objective_cost_eur,total_demand_mwh,renewable_dispatch_mwh,renewable_available_mwh,renewable_curtailment_mwh,curtailment_rate_pct,backup_dispatch_mwh,renewable_share_of_demand_pct,max_line_utilisation_pct,line_hours_above_90pct,bess_throughput_mwh,bess_energy_capacity_mwh,bess_equivalent_cycles,emissions_proxy_tco2,curtailment_value_proxy_eur,line_hours_above_threshold,congestion_severity_pct_hours,curtailment_cost_proxy_eur,backup_cost_proxy_eur,line_overload_cost_proxy_eur,total_congestion_cost_proxy_eur,bess_region,bess_power_mw,bess_duration_h,bess_energy_mwh,renewable_dispatch_gain_mwh,backup_reduction_mwh,emissions_reduction_tco2,line_overload_reduction_hours,congestion_cost_reduction_eur,sweep_grid_value_score,congestion_value_per_mwh_bess_eur,backup_reduction_per_mw_bess,renewable_gain_per_mw_bess,sweep_rank,bess_capex_eur,annualised_capex_eur_per_year,fixed_om_eur_per_year,annualised_total_cost_eur_per_year,annualised_congestion_value_eur_per_year,net_annual_value_proxy_eur_per_year,benefit_cost_ratio_proxy,simple_payback_years_proxy
bess_sweep__Noord-Brabant__400MW__1h,ok,optimal,53220819.021471046,2225221.944063123,1665377.225136104,2602119.150357477,936741.9252213727,35.99919416037056,560191.4423312743,74.84094921764182,100.0,847,2805.3617021276596,400.0,7.0134042553191485,235280.40577913518,60888225.13938923,847,7896.278659685725,60888225.13938923,53218187.02147105,12705000.0,126811412.16086029,Noord-Brabant,400.0,1.0,400.0,2978.723404255463,2632.0,1105.4400000000023,-16.0,203657.0212765783,-0.5271154042552724,509.14255319144576,6.58,7.4468085106386575,26.0,146000000.0,16030015.206346948,3650000.0,19680015.206346948,10619258.966564441,-9060756.239782507,0.5395960752682576,13.748605289662141
bess_sweep__Noord-Brabant__50MW__2h,ok,optimal,53406375.02147115,2225221.944063123,1663143.1825829125,2602119.150357477,938975.9677745642,36.08504889737922,562165.4423312743,74.74055282531107,100.0,846,701.3404255319149,100.0,7.0134042553191485,236109.4857791352,61033437.90534667,846,7762.421281188035,61033437.90534667,53405717.02147105,12690000.0,127129154.92681772,Noord-Brabant,50.0,2.0,100.0,744.6808510639239,658.0,276.35999999998603,-15.0,-114085.7446808517,-1.814778851063797,-1140.857446808517,13.16,14.893617021278478,39.0,28750000.0,3156595.460153937,718750.0,3875345.460153937,-5948756.686930125,-9824102.147084061,-1.5350261668527037,
bess_sweep__Flevoland__50MW__4h,ok,optimal,53340178.076397866,2225221.944063123,1663956.645839288,2602119.150357477,938162.5045181889,36.05378732904313,561460.0008041882,74.77710932514903,100.0,851,1575.3512901765505,200.0,7.876756450882753,235813.20033775904,60980562.79368228,851,7962.716242728497,60980562.79368228,53338700.07639788,12765000.0,127084262.87008016,Flevoland,50.0,4.0,200.0,1558.1441074393224,1363.4415270860773,572.6454413761385,-20.0,-69193.68794329464,-2.059455841859073,-345.9684397164732,27.268830541721545,31.162882148786448,41.0,49750000.0,5462282.578875073,1243750.0,6706032.578875073,-3607956.5856146496,-10313989.164489724,-0.5380165609365231,
bess_sweep__Groningen__50MW__1h,ok,optimal,53435283.892393045,2225221.944063123,1662805.4475474514,2602119.150357477,939313.7028100252,36.09802812761218,562472.2199199267,74.72537523656034,100.0,846,450.86170212765956,50.0,9.017234042553191,236238.3323663692,61055390.68265164,846,7847.687625109311,61055390.68265164,53434860.89239304,12690000.0,127180251.57504468,Groningen,50.0,1.0,50.0,406.9458156027831,351.22241134755313,147.51341276598396,-15.0,-165182.3929078132,-2.0352387197163226,-3303.6478581562637,7.024448226951063,8.138916312055663,40.0,18250000.0,2003751.9007933685,456250.0,2460001.9007933685,-8613081.915907403,-11073083.816700771,-3.501250105997732,
bess_sweep__Zeeland__100MW__4h,ok,optimal,53218563.021471106,2225221.944063123,1665404.3867476927,2602119.150357477,936714.7636097837,35.99815033378078,560167.4423312743,74.84216984247259,100.0,860,2830.9425079221364,400.0,7.077356269805341,235270.3257791352,60886459.63463594,860,7953.173373326523,60886459.63463594,53215907.02147105,12900000.0,127002366.656107,Zeeland,100.0,4.0,400.0,3005.8850158441346,2656.0,1115.5199999999895,-29.0,12702.526029869914,-2.4985997392485784,31.756315074674784,26.56,30.058850158441345,42.0,99500000.0,10924565.157750146,2487500.0,13412065.157750146,662346.0001289312,-12749719.157621216,0.04938434106444788,150.22359911682335
bess_sweep__Flevoland__50MW__2h,ok,optimal,53398783.35875789,2225221.944063123,1663250.6932876054,2602119.150357477,938868.4570698712,36.08091723781712,562083.4879869255,74.74538428515623,100.0,852,908.1186057039383,100.0,9.081186057039384,236075.0649545087,61026449.70954163,852,7966.297483261898,61026449.70954163,53397931.35875793,12780000.0,127204381.06829956,Flevoland,50.0,2.0,100.0,852.1915557568427,739.9543443487491,310.7808246264758,-21.0,-189311.88616269827,-2.66760902941302,-1893.1188616269826,14.799086886974983,17.043831115136854,43.0,28750000.0,3156595.460153937,718750.0,3875345.460153937,-9871262.635626411,-13746608.095780348,-2.547195530597756,
bess_sweep__Flevoland__50MW__1h,ok,optimal,53431468.36757034,2225221.944063123,1662852.2971928415,2602119.150357477,939266.8531646351,36.09622768563843,562431.5617638985,74.72748062858719,100.0,853,500.9574468085106,50.0,10.019148936170213,236221.25594083735,61052345.455701284,853,7984.935696560242,61052345.455701284,53430998.367570356,12795000.0,127278343.82327163,Flevoland,50.0,1.0,50.0,453.7954609929584,391.88056737580337,164.58983829783392,-22.0,-263274.6411347687,-3.076262346666677,-5265.492822695374,7.837611347516067,9.075909219859168,45.0,18250000.0,2003751.9007933685,456250.0,2460001.9007933685,-13727892.002027227,-16187893.902820595,-5.580439591367747,
bess_sweep__Zeeland__200MW__2h,ok,optimal,53202019.02147107,2225221.944063123,1665603.5718993451,2602119.150357477,936515.5784581315,35.9904956054558,559991.4423312743,74.85112109123156,100.0,865,3018.5350837483024,400.0,7.546337709370756,235196.40577913518,60873512.59977855,865,8048.17844940624,60873512.59977855,53199187.02147105,12975000.0,127047699.6212496,Zeeland,200.0,2.0,400.0,3205.0701674965676,2832.0,1189.4400000000023,-34.0,-32630.439112737775,-3.1351515291987484,-81.57609778184444,14.16,16.025350837482836,46.0,115000000.0,12626381.840615747,2875000.0,15501381.840615747,-1701444.325164184,-17202826.165779933,-0.1097608163361389,
bess_sweep__Groningen__100MW__4h,ok,optimal,53218687.44579583,2225221.944063123,1665431.529044358,2602119.150357477,936687.6213131186,35.9971072494677,560166.6467978504,74.84338959930349,100.0,866,3044.1158895427798,400.0,7.610289723856949,235269.99165509714,60884695.38535271,866,8018.732819331468,60884695.38535271,53215831.44579579,12990000.0,127090526.8311485,Groningen,100.0,4.0,400.0,3033.0273125094827,2656.795533423894,1115.8541240380437,-35.0,-75457.64901164174,-3.406493310396841,-188.64412252910435,26.567955334238942,30.330273125094827,48.0,99500000.0,10924565.157750146,2487500.0,13412065.157750146,-3934577.412749891,-17346642.57050004,-0.2933610422013421,
bess_sweep__Zeeland__100MW__2h,ok,optimal,53335123.021471106,2225221.944063123,1664001.036815597,2602119.150357477,938118.1135418798,36.05208137425229,561407.4423312743,74.7791042262162,100.0,860,1509.267541874151,200.0,7.546337709370755,235791.12577913518,60977677.38022219,860,7961.91479144168,60977677.38022219,53333707.02147105,12900000.0,127211384.40169324,Zeeland,100.0,2.0,200.0,1602.5350837484002,1416.0,594.7200000000012,-29.0,-196315.21955637634,-3.403575764599335,-981.5760977818817,14.16,16.025350837484,47.0,57500000.0,6313190.920307874,1437500.0,7750690.920307874,-10236436.448296767,-17987127.36860464,-1.320712766583931,
bess_sweep__Flevoland__400MW__1h,ok,optimal,53177682.51896639,2225221.944063123,1665938.4664171212,2602119.150357477,936180.6839403554,35.97762553692992,559729.4437977904,74.86617102899933,100.0,864,3608.3412521885953,400.0,9.020853130471489,235086.366395072,60851744.456123106,864,8020.609635374894,60851744.456123106,53174297.16079009,12960000.0,126986041.6169132,Flevoland,400.0,1.0,400.0,3539.9646852726582,3093.9985334838275,1299.47938406319,-33.0,29027.565223664045,-2.7770072870646887,72.56891305916011,7.734996333709569,8.849911713181646,44.0,146000000.0,16030015.206346948,3650000.0,19680015.206346948,1513580.1866624826,-18166435.019684464,0.07690950290395822,96.46003646621264
bess_sweep__Groningen__200MW__2h,ok,optimal,53211133.941163264,2225221.944063123,1665561.1151859001,2602119.150357477,936558.0351715764,35.992127226107726,560083.4309596128,74.84921311465608,100.0,867,3419.301041195111,400.0,8.548252602987777,235235.0410030374,60876272.28615247,867,8016.516618760414,60876272.28615247,53207925.94116322,13005000.0,127089198.2273157,Groningen,200.0,2.0,400.0,3162.6134540515486,2740.0113716614433,1150.8047760977934,-36.0,-74129.04517883062,-3.4859076886192906,-185.32261294707655,13.700056858307216,15.813067270257744,49.0,115000000.0,12626381.840615747,2875000.0,15501381.840615747,-3865300.212896168,-19366682.053511918,-0.2493519773036331,
bess_sweep__Noord-Holland__100MW__4h,ok,optimal,53217290.78667411,2225221.944063123,1665446.2307193242,2602119.150357477,936672.9196381527,35.996542260928884,560151.9451228844,74.84405028283689,100.0,869,3044.1158895427798,400.0,7.610289723856949,235263.81695161143,60883739.77647992,869,7869.556688087094,60883739.77647992,53214434.786674015,13035000.0,127133174.56315394,Noord-Holland,100.0,4.0,400.0,3047.7289874756243,2671.4972083899193,1122.0288275237544,-38.0,-118105.38101707399,-3.855466768069971,-295.26345254268495,26.71497208389919,30.47728987475624,52.0,99500000.0,10924565.157750146,2487500.0,13412065.157750146,-6158352.010176001,-19570417.167926148,-0.4591650829117397,
bess_sweep__Noord-Holland__200MW__2h,ok,optimal,53205177.84627875,2225221.944063123,1665623.8109215272,2602119.150357477,936495.3394359495,35.98971781546954,560020.735223986,74.85203061948046,100.0,868,3419.301041195111,400.0,8.548252602987777,235208.7087940741,60872197.063336715,868,7873.15070365379,60872197.063336715,53201969.84627867,13020000.0,127094166.90961538,Noord-Holland,200.0,2.0,400.0,3225.3091896786354,2802.7071072882973,1177.136985061079,-37.0,-79097.72747851908,-3.596149196921692,-197.7443186962977,14.013535536441486,16.126545948393176,51.0,115000000.0,12626381.840615747,2875000.0,15501381.840615747,-4124381.5042370665,-19625763.344852813,-0.2660654093063253,
bess_sweep__Flevoland__200MW__4h,ok,optimal,52959931.024776,2225221.944063123,1668558.354752718,2602119.150357477,933560.7956047585,35.8769426633099,557413.0701747333,74.98390707517605,100.0,884,6064.0986084584,800.0,7.580123260573,234113.48947338798,60681451.714309305,884,8331.094504366889,60681451.714309305,52954241.66659966,13260000.0,126895693.38090897,Flevoland,200.0,4.0,800.0,6159.853020869428,5410.37215654098,2272.3563057472056,-53.0,119375.8012278974,-4.147064635487826,149.21975153487176,27.0518607827049,30.799265104347143,55.0,199000000.0,21849130.315500293,4975000.0,26824130.315500293,6224595.3497403655,-20599534.965759926,0.2320520843184053,31.969949662398616
bess_sweep__Zeeland__100MW__1h,ok,optimal,53397539.02147112,2225221.944063123,1663249.565561636,2602119.150357477,938869.5847958408,36.08096057656928,562071.4423312743,74.74533360589825,100.0,860,801.531914893617,100.0,8.01531914893617,236070.0057791352,61026523.01172965,860,7972.807951463646,61026523.01172965,53396787.02147105,12900000.0,127323310.03320071,Zeeland,100.0,1.0,100.0,851.0638297873084,752.0,315.8399999999965,-29.0,-308240.85106384754,-3.8881758297872113,-3082.4085106384755,7.52,8.510638297873083,53.0,36500000.0,4007503.801586737,912500.0,4920003.801586737,-16072558.662614908,-20992562.464201644,-3.2667776918040983,
bess_sweep__Noord-Holland__400MW__1h,ok,optimal,53194941.37608106,2225221.944063123,1665756.6010226286,2602119.150357477,936362.5493348481,35.984614663252884,559911.1302745367,74.8579981186531,100.0,868,3606.8936170212764,400.0,9.017234042553191,235162.6747153054,60863565.70676512,868,7861.610248658697,60863565.70676512,53191557.37608098,13020000.0,127075123.0828461,Noord-Holland,400.0,1.0,400.0,3358.0992907800246,2912.3120567376027,1223.1710638297955,-37.0,-60053.90070924163,-3.512982411347559,-150.13475177310409,7.280780141844007,8.395248226950061,50.0,146000000.0,16030015.206346948,3650000.0,19680015.206346948,-3131381.9655533135,-22811397.17190026,-0.15911481432917898,
bess_sweep__Zeeland__200MW__1h,ok,optimal,53326851.02147105,2225221.944063123,1664100.629391423,2602119.150357477,938018.5209660535,36.048254010089785,561319.4423312743,74.78357985059567,100.0,865,1603.0638297872338,200.0,8.015319148936168,235754.1657791352,60971203.862793475,865,8073.508121232776,60971203.862793475,53325347.02147105,12975000.0,127271550.88426453,Zeeland,200.0,1.0,200.0,1702.1276595743839,1504.0,631.679999999993,-34.0,-256481.70212766528,-4.104351659574498,-1282.4085106383263,7.52,8.51063829787192,54.0,73000000.0,8015007.603173474,1825000.0,9840007.603173474,-13373688.75379969,-23213696.356973164,-1.3591136605917438,
bess_sweep__Groningen__100MW__2h,ok,optimal,53339680.481317185,2225221.944063123,1663979.8084588745,2602119.150357477,938139.3418986022,36.05289718457825,561453.4366454436,74.77815023792847,100.0,867,1709.6505205975554,200.0,8.548252602987777,235810.44339108627,60979057.223409146,867,8026.74793306345,60979057.223409146,53338076.48131714,13005000.0,127322133.70472628,Groningen,100.0,2.0,200.0,1581.3067270258907,1370.0056858307216,575.4023880489112,-36.0,-307064.5225894153,-4.496953844309605,-1535.3226129470765,13.700056858307216,15.813067270258907,56.0,57500000.0,6313190.920307874,1437500.0,7750690.920307874,-16011221.535019513,-23761912.455327388,-2.065779902675246,
bess_sweep__Noord-Holland__50MW__4h,ok,optimal,53342758.904072635,2225221.944063123,1663922.3662255863,2602119.150357477,938196.7841318903,36.055104701988824,561487.6937270793,74.77556882201885,100.0,868,1522.0579447713897,200.0,7.6102897238569485,235824.8313653733,60982790.96857287,868,7885.46047559568,60982790.96857287,53341330.90407254,13020000.0,127344121.87264541,Noord-Holland,50.0,4.0,200.0,1523.8644937376957,1335.7486041949596,561.0144137618772,-37.0,-329052.69050854445,-4.681733384035027,-1645.2634525427222,26.71497208389919,30.477289874753914,57.0,49750000.0,5462282.578875073,1243750.0,6706032.578875073,-17157747.433659818,-23863780.01253489,-2.558554142386526,
bess_sweep__Flevoland__100MW__4h,ok,optimal,53212142.57332787,2225221.944063123,1665513.7658698899,2602119.150357477,936605.3844875868,35.99394687053115,560096.7660771507,74.84708526776258,100.0,877,3144.0899404955344,400.0,7.860224851238836,235240.6417524033,60879349.99169314,877,8261.038172607688,60879349.99169314,53209192.77732932,13155000.0,127243542.76902246,Flevoland,100.0,4.0,400.0,3115.264138041297,2726.6762541235657,1145.2040267318953,-46.0,-228473.58688560128,-5.037349392825597,-571.1839672140032,27.266762541235657,31.15264138041297,58.0,99500000.0,10924565.157750146,2487500.0,13412065.157750146,-11913265.601892067,-25325330.759642214,-0.8882499049751484,
bess_sweep__Noord-Holland__100MW__2h,ok,optimal,53336702.43387493,2225221.944063123,1664011.156326688,2602119.150357477,938107.9940307888,36.05169247925916,561422.0887776301,74.77955899034065,100.0,871,1709.6505205975554,200.0,8.548252602987777,235797.27728660466,60977019.61200127,871,7888.809046503003,60977019.61200127,53335098.43387486,13065000.0,127377118.04587613,Noord-Holland,100.0,2.0,200.0,1612.6545948393177,1401.3535536441486,588.568492530525,-40.0,-362048.863739267,-5.087574598460848,-1810.2443186963349,14.013535536441486,16.126545948393176,59.0,57500000.0,6313190.920307874,1437500.0,7750690.920307874,-18878262.180690352,-26628953.100998227,-2.4356876535002465,
bess_sweep__Noord-Holland__50MW__2h,ok,optimal,53402464.72767304,2225221.944063123,1663204.8290292684,2602119.150357477,938914.3213282084,36.082679811153966,562122.7655544522,74.74332317577074,100.0,869,854.8252602987777,100.0,8.548252602987777,236091.5615328699,61029430.88633355,869,7884.017514086618,61029430.88633355,53401662.72767296,13035000.0,127466093.6140065,Noord-Holland,50.0,2.0,100.0,806.3272974197753,700.6767768220743,294.28424626527703,-38.0,-451024.43186964095,-5.297787299230385,-4510.244318696409,14.013535536441486,16.126545948395506,62.0,28750000.0,3156595.460153937,718750.0,3875345.460153937,-23517702.518916994,-27393047.97907093,-6.068543504243573,
bess_sweep__Noord-Holland__200MW__1h,ok,optimal,53331584.19877612,2225221.944063123,1664077.5513772385,2602119.150357477,938041.598980238,36.04914090315083,561367.2863029055,74.78254273992695,100.0,872,1803.4468085106382,200.0,9.017234042553191,235774.2602472203,60972703.93371547,872,7907.209650818597,60972703.93371547,53329892.19877602,13080000.0,127382596.1324915,Noord-Holland,200.0,1.0,200.0,1679.0496453898959,1456.1560283687431,611.5855319148686,-41.0,-367526.9503546357,-5.19899120567384,-1837.6347517731786,7.2807801418437155,8.39524822694948,60.0,73000000.0,8015007.603173474,1825000.0,9840007.603173474,-19163905.26849172,-29003912.871665195,-1.947549843590692,
bess_sweep__Groningen__200MW__1h,ok,optimal,53336454.50515906,2225221.944063123,1664026.28499426,2602119.150357477,938092.8653632167,36.051111081302416,561418.5526858843,74.7802388626389,100.0,872,1803.4468085106382,200.0,9.017234042553191,235795.7921280714,60976036.24860909,872,8040.050544851392,60976036.24860909,53334762.505159006,13080000.0,127390798.75376809,Groningen,200.0,1.0,200.0,1627.7832624113653,1404.8896453899797,590.0536510637903,-41.0,-375729.57163122296,-5.233954878865273,-1878.6478581561148,7.0244482269498985,8.138916312056827,61.0,73000000.0,8015007.603173474,1825000.0,9840007.603173474,-19591613.37791377,-29431620.981087245,-1.991016081287918,
bess_sweep__Flevoland__100MW__2h,ok,optimal,53329353.13804796,2225221.944063123,1664101.8607665247,2602119.150357477,938017.2895909518,36.04820668807913,561343.7404426252,74.78363518777698,100.0,876,1809.6245715503098,200.0,9.04812285775155,235764.37098590258,60971123.82341187,876,8262.315314185164,60971123.82341187,53327655.3420494,13140000.0,127438779.16546127,Flevoland,100.0,2.0,200.0,1703.3590346761048,1479.701888649026,621.474793232599,-45.0,-423709.98332440853,-5.794655767933538,-2118.5499166220425,14.797018886490259,17.03359034676105,63.0,57500000.0,6313190.920307874,1437500.0,7750690.920307874,-22093449.130487017,-29844140.050794892,-2.850513503589615,
bess_sweep__Noord-Holland__50MW__1h,ok,optimal,53434066.31579739,2225221.944063123,1662818.2641431962,2602119.150357477,939300.8862142806,36.09753558307429,562459.4033241821,74.72595120588235,100.0,871,450.86170212765956,50.0,9.017234042553191,236232.9493961565,61054557.60392824,871,7887.345526622816,61054557.60392824,53433643.31579731,13065000.0,127553200.91972554,Noord-Holland,50.0,1.0,50.0,419.7624113475904,364.0390070921276,152.89638297868078,-40.0,-538131.7375886738,-5.85149780141844,-10762.634751773476,7.280780141842552,8.395248226951807,64.0,18250000.0,2003751.9007933685,456250.0,2460001.9007933685,-28059726.317123707,-30519728.217917077,-11.406383998351481,
bess_sweep__Noord-Holland__100MW__1h,ok,optimal,53399905.61012363,2225221.944063123,1663238.0265545435,2602119.150357477,938881.123802933,36.0814040230998,562095.36431709,74.74481505056389,100.0,873,901.7234042553191,100.0,9.017234042553191,236080.0530131778,61027273.047190644,873,7891.8702847313325,61027273.047190644,53399059.61012355,13095000.0,127521332.6573142,Noord-Holland,100.0,1.0,100.0,839.5248226949479,728.0780141842552,305.79276595739066,-42.0,-506263.47517733276,-5.888995602836958,-5062.6347517733275,7.280780141842552,8.39524822694948,65.0,36500000.0,4007503.801586737,912500.0,4920003.801586737,-26398024.062818065,-31318027.8644048,-5.365447899512702,
bess_sweep__Groningen__100MW__1h,ok,optimal,53402340.76331507,2225221.944063123,1663212.3933630544,2602119.150357477,938906.7569944224,36.0823891121756,562120.9975085792,74.74366311191986,100.0,873,901.7234042553191,100.0,9.017234042553191,236090.81895360324,61028939.20463745,873,8040.459732266184,61028939.20463745,53401494.76331502,13095000.0,127525433.96795247,Groningen,100.0,1.0,100.0,813.8916312057991,702.4448226951063,295.0268255319388,-42.0,-510364.7858156115,-5.90647743943256,-5103.647858156115,7.024448226951063,8.13891631205799,66.0,36500000.0,4007503.801586737,912500.0,4920003.801586737,-26611878.117528316,-31531881.91911505,-5.40891413720977,
bess_sweep__Flevoland__100MW__1h,ok,optimal,53394710.15567285,2225221.944063123,1663306.0589798945,2602119.150357477,938813.0913775823,36.07878952232487,562039.6879965713,74.74787238268901,100.0,876,1001.6974552080735,100.0,10.016974552080734,236056.66895855992,61022850.939542845,876,8259.707486744972,61022850.939542845,53393770.359674275,13140000.0,127556621.29921712,Flevoland,100.0,1.0,100.0,907.5572480459232,783.7543347029714,329.1768205752596,-45.0,-541552.1170802563,-6.3055390861890865,-5415.521170802564,7.837543347029714,9.075572480459233,67.0,36500000.0,4007503.801586737,912500.0,4920003.801586737,-28238074.676327653,-33158078.47791439,-5.739441637671229,
bess_sweep__Flevoland__200MW__2h,ok,optimal,53193595.765986234,2225221.944063123,1665745.920770524,2602119.150357477,936373.2295869526,35.98502510764407,559898.8042927354,74.85751815519899,100.0,888,3420.7486763624293,400.0,8.551871690906074,235157.49780294887,60864259.92315192,888,8345.269665020487,60864259.92315192,53190386.40780986,13320000.0,127374646.33096178,Flevoland,200.0,2.0,400.0,3347.4190386754926,2924.638038538862,1228.3479761863127,-57.0,-359577.1488249153,-6.572927354666901,-898.9428720622882,14.62319019269431,16.737095193377463,68.0,115000000.0,12626381.840615747,2875000.0,15501381.840615747,-18749379.90301344,-34250761.74362919,-1.209529582316816,
bess_sweep__Zeeland__50MW__4h,ok,optimal,53343395.021471046,2225221.944063123,1663901.4442397708,2602119.150357477,938217.706117706,36.05590873841478,561495.4423312743,74.77462860183671,100.0,883,1415.4712539610682,200.0,7.077356269805341,235828.08577913517,60984150.89765089,883,8320.989029761042,60984150.89765089,53342067.02147105,13245000.0,127571217.91912195,Zeeland,50.0,4.0,200.0,1502.9425079221837,1328.0,557.7600000000093,-52.0,-556148.7369850874,-6.986799869624253,-2780.743684925437,26.56,30.058850158443676,69.0,49750000.0,5462282.578875073,1243750.0,6706032.578875073,-28999184.142793845,-35705216.72166892,-4.324342866174744,
bess_sweep__Zeeland__50MW__2h,ok,optimal,53401675.02147107,2225221.944063123,1663199.7692737225,2602119.150357477,938919.3810837539,36.08287425865053,562115.4423312743,74.7430957937085,100.0,883,754.6337709370755,100.0,7.546337709370755,236088.4857791352,61029759.770444006,883,8328.372985060914,61029759.770444006,53400967.02147105,13245000.0,127675726.79191506,Zeeland,50.0,2.0,100.0,801.2675418739673,708.0,297.35999999998603,-52.0,-660657.6097781956,-7.439287882299751,-6606.576097781956,14.16,16.025350837479344,70.0,28750000.0,3156595.460153937,718750.0,3875345.460153937,-34448575.367005914,-38323920.82715985,-8.889162455632418,
bess_sweep__Zeeland__50MW__1h,ok,optimal,53432883.021471076,2225221.944063123,1662824.0336467423,2602119.150357477,939295.1167107344,36.09731385980903,562447.4423312743,74.72621048354955,100.0,885,400.76595744680844,50.0,8.015319148936168,236227.9257791352,61054182.58619774,885,8332.97148772193,61054182.58619774,53432507.02147105,13275000.0,127761689.60766879,Zeeland,50.0,1.0,50.0,425.5319148937706,376.0,157.9199999999837,-54.0,-746620.4255319238,-7.987587914893565,-14932.408510638475,7.52,8.510638297875412,72.0,18250000.0,2003751.9007933685,456250.0,2460001.9007933685,-38930922.188450314,-41390924.08924368,-15.825565897284392,
bess_sweep__Flevoland__200MW__1h,ok,optimal,53321396.5145381,2225221.944063123,1664198.1335898233,2602119.150357477,937921.0167676532,36.044506902722055,561259.0601951529,74.78796162467715,100.0,890,1903.4208594633926,200.0,9.517104297316964,235728.8052819642,60964866.089897454,890,8355.96869964842,60964866.089897454,53319610.71853952,13350000.0,127634476.80843697,Flevoland,200.0,1.0,200.0,1799.6318579746876,1564.3821361213923,657.0404971709941,-59.0,-619407.6263001114,-7.874695734132464,-3097.038131500557,7.821910680606961,8.998159289873438,71.0,73000000.0,8015007.603173474,1825000.0,9840007.603173474,-32297683.371362954,-42137690.97453643,-3.282282359309023,
