scenario,solve_status,termination_condition,objective_cost_eur,total_demand_mwh,renewable_dispatch_mwh,renewable_available_mwh,renewable_curtailment_mwh,curtailment_rate_pct,backup_dispatch_mwh,renewable_share_of_demand_pct,max_line_utilisation_pct,line_hours_above_90pct,bess_throughput_mwh,bess_energy_capacity_mwh,bess_equivalent_cycles,emissions_proxy_tco2,curtailment_value_proxy_eur,line_hours_above_threshold,congestion_severity_pct_hours,curtailment_cost_proxy_eur,backup_cost_proxy_eur,line_overload_cost_proxy_eur,total_congestion_cost_proxy_eur,renewable_dispatch_increase_vs_base_mwh,renewable_available_increase_vs_base_mwh,absolute_curtailment_change_vs_base_mwh,curtailment_reduction_vs_base_mwh,curtailment_rate_reduction_vs_base_pct,backup_reduction_vs_base_mwh,emissions_reduction_vs_base_tco2,objective_cost_reduction_vs_base_eur,congestion_cost_reduction_vs_base_eur,line_overload_reduction_vs_base_hours,grid_value_score,recommendation_rank
high_wind_offshore_growth,ok,optimal,49929073.356224775,2225221.944063123,1699652.7508397044,2354885.3689751565,655232.6181354525,27.82439547877479,525569.1932234184,76.38126863589343,100.0,780,0.0,0.0,0.0,220739.06115383573,42590120.17880441,780,7216.180041252631,42590120.17880441,49929073.35622475,11700000.0,104219193.53502917,201560.8393674756,372155.07208792865,170594.23272045335,-170594.23272045335,-3.3814146973819064,201560.83936747583,84655.55253433983,19148279.739910156,7984654.61308074,-5,60.84876157328324,1
combined_bess_and_flex,ok,optimal,55207003.895659655,2264971.944063123,1684781.6589352381,2602119.150357477,917337.4914222384,35.25347758561384,581057.093638523,74.38421757723479,100.0,839,7013.40425531915,1000.0,7.01340425531915,244043.97932817964,59626936.942445494,839,7851.496583343909,59626936.942445494,55200423.895659685,12585000.0,127412360.83810517,186689.74746300932,619388.8534702491,432699.10600723926,-432699.10600723926,-10.810496804220953,146072.93895237125,61350.63435999592,13870349.200475276,-15208512.689995259,-64,30.681894372713998,2
targeted_grid_reinforcement,ok,optimal,58573834.07560755,2225221.944063123,1608655.2695830432,2352099.476094255,743444.206511212,31.607685562080373,616566.6744800797,72.29190211227804,100.0,769,0.0,0.0,0.0,258958.00328163346,48323873.423228785,769,7124.929622940882,48323873.423228785,58573834.07560757,11535000.0,118432707.49883635,110563.35811081436,369369.1792070274,258805.8210962129,-258805.8210962129,-7.16470478068749,110563.35811081459,46436.61040654211,10503519.020527378,-6228859.350726441,6,26.13881061474266,3
bess_noord_holland,ok,optimal,58243754.393814005,2225221.944063123,1612878.649884118,2352099.476094255,739220.8262101372,31.42812766735698,613036.7409875155,72.48169802510115,100.0,819,5610.723404255319,800.0,7.0134042553191485,257475.4312147565,48049353.703658916,819,7499.86784708544,48049353.703658916,58238490.393813975,12285000.0,118572844.09747289,114786.73841188918,369369.1792070274,254582.44079513807,-254582.44079513807,-6.985146885964095,114093.29160337872,47919.18247341906,10833598.702320926,-6368995.949362978,-44,23.134373131375934,4
bess_noord_brabant,ok,optimal,58243754.39381397,2225221.944063123,1612878.6498841178,2352099.476094255,739220.8262101372,31.42812766735698,613036.7409875157,72.48169802510115,100.0,827,5610.723404255319,800.0,7.0134042553191485,257475.43121475657,48049353.703658916,827,7646.322403152215,48049353.703658916,58238490.39381399,12405000.0,118692844.0974729,114786.73841188895,369369.1792070274,254582.44079513807,-254582.44079513807,-6.985146885964095,114093.2916033786,47919.182473419,10833598.702320963,-6488995.949362993,-52,22.409812634893488,5
bess_flevoland,ok,optimal,58242887.7271473,2225221.944063123,1612944.676743934,2352099.476094255,739154.7993503213,31.425320521635168,613023.4076541823,72.48466522843977,100.0,855,6037.070167496605,800.0,7.546337709370756,257469.83121475656,48045061.957770884,855,7799.930918376911,48045061.957770884,58237223.72714732,12825000.0,119107285.6849182,114852.76527170511,369369.1792070274,254516.41393532214,-254516.41393532214,-6.982339740242285,114106.62493671197,47924.78247341901,10834465.368987627,-6903437.536808282,-80,19.889273485821672,6
base_2026_constrained_grid,ok,optimal,69077353.09613493,2225221.944063123,1498091.9114722288,1982730.2968872278,484638.38541499915,24.442980781392883,727130.0325908943,67.32325804484933,100.0,775,0.0,0.0,0.0,305394.61368817557,31501495.051974945,775,7198.234931401367,31501495.051974945,69077353.09613496,11625000.0,112203848.14810991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7
flexible_connection_contract,ok,optimal,61626812.62688817,2264971.944063123,1616268.6532537735,2484805.123027982,868536.4697742084,34.95390691708693,648703.2908093494,71.35932334571687,100.0,984,0.0,0.0,0.0,272455.3821399267,56454870.535323545,984,9273.154683101804,56454870.535323545,61626812.62688819,14760000.0,132841683.16221175,118176.74178154464,502074.8261407544,383898.0843592092,-383898.0843592092,-10.51092613569405,78426.74178154487,32939.23154824885,7450540.46924676,-20637835.014101833,-209,-4.066685857317245,8
high_solar_growth,ok,optimal,66221908.143806,2225221.944063123,1528149.2267599015,2448450.0980577148,920300.8712978131,37.58707894548725,697072.7173032213,68.67401388149139,100.0,877,0.0,0.0,0.0,292770.54126735294,59819556.634357855,877,8107.668954163564,59819556.634357855,66221908.143806025,13155000.0,139196464.77816388,30057.31528767268,465719.80117048696,435662.485882814,-435662.485882814,-13.144098164094366,30057.315287672915,12624.072420822631,2855444.952328928,-26992616.630053967,-102,-19.539075840974686,9
